Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,NA_Sales_Million,EU_Sales,EU_Sales_Million,JP_Sales,JP_Sales_Million,Other_Sales,Other_Sales_Million,Global_Sales,Global_Sales_Million
1,Wii Sports,Wii,2006.0,Sports,Nintendo,41.49,41.49M,29.02,29.02M,3.77,3.77M,8.46,8.46M,82.74,82.74M
2,Super Mario Bros.,NES,1985.0,Platform,Nintendo,29.08,29.08M,3.58,3.58M,6.81,6.81M,0.77,0.77M,40.24,40.24M
3,Mario Kart Wii,Wii,2008.0,Racing,Nintendo,15.85,15.85M,12.88,12.88M,3.79,3.79M,3.31,3.31M,35.82,35.82M
4,Wii Sports Resort,Wii,2009.0,Sports,Nintendo,15.75,15.75M,11.01,11.01M,3.28,3.28M,2.96,2.96M,33.0,33.00M
5,Pokemon Red/Pokemon Blue,GB,1996.0,Role-Playing,Nintendo,11.27,11.27M,8.89,8.89M,10.22,10.22M,1.0,1.00M,31.37,31.37M
6,Tetris,GB,1989.0,Puzzle,Nintendo,23.2,23.20M,2.26,2.26M,4.22,4.22M,0.58,0.58M,30.26,30.26M
7,New Super Mario Bros.,DS,2006.0,Platform,Nintendo,11.38,11.38M,9.23,9.23M,6.5,6.50M,2.9,2.90M,30.01,30.01M
8,Wii Play,Wii,2006.0,Misc,Nintendo,14.03,14.03M,9.2,9.20M,2.93,2.93M,2.85,2.85M,29.02,29.02M
9,New Super Mario Bros. Wii,Wii,2009.0,Platform,Nintendo,14.59,14.59M,7.06,7.06M,4.7,4.70M,2.26,2.26M,28.62,28.62M
10,Duck Hunt,NES,1984.0,Shooter,Nintendo,26.93,26.93M,0.63,0.63M,0.28,0.28M,0.47,0.47M,28.31,28.31M
11,Nintendogs,DS,2005.0,Simulation,Nintendo,9.07,9.07M,11.0,11.00M,1.93,1.93M,2.75,2.75M,24.76,24.76M
12,Mario Kart DS,DS,2005.0,Racing,Nintendo,9.81,9.81M,7.57,7.57M,4.13,4.13M,1.92,1.92M,23.42,23.42M
13,Pokemon Gold/Pokemon Silver,GB,1999.0,Role-Playing,Nintendo,9.0,9.00M,6.18,6.18M,7.2,7.20M,0.71,0.71M,23.1,23.10M
14,Wii Fit,Wii,2007.0,Sports,Nintendo,8.94,8.94M,8.03,8.03M,3.6,3.60M,2.15,2.15M,22.72,22.72M
15,Wii Fit Plus,Wii,2009.0,Sports,Nintendo,9.09,9.09M,8.59,8.59M,2.53,2.53M,1.79,1.79M,22.0,22.00M
16,Kinect Adventures!,X360,2010.0,Misc,Microsoft Game Studios,14.97,14.97M,4.94,4.94M,0.24,0.24M,1.67,1.67M,21.82,21.82M
17,Grand Theft Auto V,PS3,2013.0,Action,Take-Two Interactive,7.01,7.01M,9.27,9.27M,0.97,0.97M,4.14,4.14M,21.4,21.40M
18,Grand Theft Auto: San Andreas,PS2,2004.0,Action,Take-Two Interactive,9.43,9.43M,0.4,0.40M,0.41,0.41M,10.57,10.57M,20.81,20.81M
19,Super Mario World,SNES,1990.0,Platform,Nintendo,12.78,12.78M,3.75,3.75M,3.54,3.54M,0.55,0.55M,20.61,20.61M
20,Brain Age: Train Your Brain in Minutes a Day,DS,2005.0,Misc,Nintendo,4.75,4.75M,9.26,9.26M,4.16,4.16M,2.05,2.05M,20.22,20.22M
21,Pokemon Diamond/Pokemon Pearl,DS,2006.0,Role-Playing,Nintendo,6.42,6.42M,4.52,4.52M,6.04,6.04M,1.37,1.37M,18.36,18.36M
22,Super Mario Land,GB,1989.0,Platform,Nintendo,10.83,10.83M,2.71,2.71M,4.18,4.18M,0.42,0.42M,18.14,18.14M
23,Super Mario Bros. 3,NES,1988.0,Platform,Nintendo,9.54,9.54M,3.44,3.44M,3.84,3.84M,0.46,0.46M,17.28,17.28M
24,Grand Theft Auto V,X360,2013.0,Action,Take-Two Interactive,9.63,9.63M,5.31,5.31M,0.06,0.06M,1.38,1.38M,16.38,16.38M
25,Grand Theft Auto: Vice City,PS2,2002.0,Action,Take-Two Interactive,8.41,8.41M,5.49,5.49M,0.47,0.47M,1.78,1.78M,16.15,16.15M
26,Pokemon Ruby/Pokemon Sapphire,GBA,2002.0,Role-Playing,Nintendo,6.06,6.06M,3.9,3.90M,5.38,5.38M,0.5,0.50M,15.85,15.85M
27,Pokemon Black/Pokemon White,DS,2010.0,Role-Playing,Nintendo,5.57,5.57M,3.28,3.28M,5.65,5.65M,0.82,0.82M,15.32,15.32M
28,Brain Age 2: More Training in Minutes a Day,DS,2005.0,Puzzle,Nintendo,3.44,3.44M,5.36,5.36M,5.32,5.32M,1.18,1.18M,15.3,15.30M
29,Gran Turismo 3: A-Spec,PS2,2001.0,Racing,Sony Computer Entertainment,6.85,6.85M,5.09,5.09M,1.87,1.87M,1.16,1.16M,14.98,14.98M
30,Call of Duty: Modern Warfare 3,X360,2011.0,Shooter,Activision,9.03,9.03M,4.28,4.28M,0.13,0.13M,1.32,1.32M,14.76,14.76M
31,Pokémon Yellow: Special Pikachu Edition,GB,1998.0,Role-Playing,Nintendo,5.89,5.89M,5.04,5.04M,3.12,3.12M,0.59,0.59M,14.64,14.64M
32,Call of Duty: Black Ops,X360,2010.0,Shooter,Activision,9.67,9.67M,3.73,3.73M,0.11,0.11M,1.13,1.13M,14.64,14.64M
33,Pokemon X/Pokemon Y,3DS,2013.0,Role-Playing,Nintendo,5.17,5.17M,4.05,4.05M,4.34,4.34M,0.79,0.79M,14.35,14.35M
34,Call of Duty: Black Ops 3,PS4,2015.0,Shooter,Activision,5.77,5.77M,5.81,5.81M,0.35,0.35M,2.31,2.31M,14.24,14.24M
35,Call of Duty: Black Ops II,PS3,2012.0,Shooter,Activision,4.99,4.99M,5.88,5.88M,0.65,0.65M,2.52,2.52M,14.03,14.03M
36,Call of Duty: Black Ops II,X360,2012.0,Shooter,Activision,8.25,8.25M,4.3,4.30M,0.07,0.07M,1.12,1.12M,13.73,13.73M
37,Call of Duty: Modern Warfare 2,X360,2009.0,Shooter,Activision,8.52,8.52M,3.63,3.63M,0.08,0.08M,1.29,1.29M,13.51,13.51M
38,Call of Duty: Modern Warfare 3,PS3,2011.0,Shooter,Activision,5.54,5.54M,5.82,5.82M,0.49,0.49M,1.62,1.62M,13.46,13.46M
39,Grand Theft Auto III,PS2,2001.0,Action,Take-Two Interactive,6.99,6.99M,4.51,4.51M,0.3,0.30M,1.3,1.30M,13.1,13.10M
40,Super Smash Bros. Brawl,Wii,2008.0,Fighting,Nintendo,6.75,6.75M,2.61,2.61M,2.66,2.66M,1.02,1.02M,13.04,13.04M
41,Call of Duty: Black Ops,PS3,2010.0,Shooter,Activision,5.98,5.98M,4.44,4.44M,0.48,0.48M,1.83,1.83M,12.73,12.73M
